dim	coefficient
234	0.03442348
235	0.012807703
236	0.0030293595
237	0.053882577
238	0.014760155
239	0.043511838
240	0.01890159
241	0.002733266
242	-0.055831943
243	-0.07086971
244	0.049621593
245	-0.024525847
246	-0.03407367
247	0.04982095
248	-0.022083975
249	-0.09510809
250	0.03353339
251	0.020415228
252	-0.07897409
253	0.028917689
254	0.060739696
255	-0.04595858
256	0.069040254
257	0.0014979788
258	0.1018457
259	-0.04304784
260	0.013515372
261	-0.01719063
262	0.0034827837
263	0.040911753
264	0.057698768
265	0.024724796
266	0.055940554
267	0.12869677
268	0.07233607
269	-0.0035975706
270	-0.014309669
271	-0.055639282
272	-0.08900558
273	-0.07031312
274	0.015061155
275	0.030660437
276	0.09478507
277	-0.009696929
278	-0.07336903
279	0.113108456
280	-0.050684676
281	-0.00844682
282	0.10304497
283	-0.07969164
284	-0.07775478
285	0.076554134
286	0.052445482
287	0.0043386156
288	-0.05861381
289	0.00791833
290	0.02866849
291	-0.041940093
292	-0.044417754
293	-0.08862772
294	0.045139298
295	-0.029386338
296	-0.025367875
297	0.021360384
298	0.11911893
299	0.08596465
300	0.003942238
301	0.0140621625
302	-0.043950394
303	0.063517146
304	-0.009379349
305	0.04327761
306	0.03377342
307	-0.06458335
308	0.03321233
309	0.03741128
310	0.06866518
311	0.014784176
312	0.081601605
313	-0.029081836
314	-0.043598264
315	-0.044411037
316	0.025548099
317	-0.031645216
318	0.03970193
319	-0.023525314
320	0.030372998
321	-0.0078147845
322	0.028433684
323	-0.062114265
324	0.035641924
325	-0.042913593
326	-0.032004237
327	-0.017014734
328	0.11417021
329	0.028081104
330	-0.05677969
331	0.01192075
332	-0.05172629
333	-0.024256002
334	0.011659984
335	-0.07935174
336	-0.0060482547
337	-0.079797395
338	0.034586683
339	0.042523332
340	-0.09469196
341	0.06185643
342	0.04298738
343	-0.009366538
344	0.08976516
345	-0.08765314
346	0.029724017
347	0.094214104
348	0.07070806
349	-0.029156737
350	0.036769234
351	-0.0638931
352	0.012016835
353	-0.12734172
354	-0.04617973
355	0.005376563
356	-0.022345696
357	-0.006563572
358	-0.011884177
359	-0.17808488
360	-0.03212208
361	0.035827428
362	0.073343925
363	-0.033346668
364	-0.12114262
365	-0.037691567
366	0.010014701
367	0.025289781
368	0.008640496
369	-0.047032494
370	-0.07808313
371	-0.10895808
372	0.017633583
373	0.00015867222
374	0.0065992014
375	0.096007876
376	-0.028193336
377	0.053773213
378	0.04960788
379	0.003674659
380	-0.029469576
381	0.046369366
382	-0.052596748
383	0.009071774
384	-0.043970842
385	0.07473107
386	0.046530396
387	0.089623936
388	-0.022151824
389	0.06820718
390	0.0072552687
391	-0.028998267
392	0.0084000295
393	-0.07699895
394	0.034839805
395	-0.006922086
396	0.05086525
397	0.030669821
398	0.049456283
399	0.05722812
400	0.01977616
401	0.05235701
402	0.03597866
403	-0.0037200712
404	0.0066719837
405	-0.088111594
406	0.003033702
407	0.06897658
408	-0.026907867
409	-0.055234604
410	0.024218393
411	-0.0042247865
412	0.09956167
413	-0.013186123
414	-0.026678998
415	-0.06033447
416	0.09136839
417	0.07917766
418	-0.06183166
419	0.036362875
420	-0.13134336
421	0.012759899
422	-0.021897614
423	-0.0011993833
424	0.025488222
425	-0.036801934
426	0.052177884
427	-0.031906098
428	0.10280842
429	0.08960363
430	0.041806683
431	0.0039130473
432	-0.0034684595
433	-0.028496504
434	-0.0045467904
435	0.017563203
436	-0.0005713925
437	-0.095330894
438	-0.017725402
439	-0.008193421
440	-0.013658628
441	0.037724685
442	-0.031266175
443	-0.03376791
444	0.013805153
445	-0.018546794
446	-0.017727457
447	0.06065299
448	0.08680298
449	-0.072582714
450	0.07408891
451	0.07773356
452	-0.09518025
453	-0.05134519
454	0.029823488
455	0.0345297
456	-0.06593732
457	-0.09477696
458	0.046164166
459	-0.023202091
460	0.028830744
461	-0.06614178
462	0.011418146
463	-0.048092026
464	-0.04623545
465	-0.00020210771
466	0.044659194
467	0.077539496
468	0.033681817
469	0.03476652
470	-0.067942105
471	-0.106594086
472	0.025791023
473	-0.042908125
474	0.024765864
475	0.098045014
476	0.08254281
477	0.036174007
478	0.06643225
479	0.07247307
480	0.118819386
481	0.014540186
482	-0.035547018
483	-0.0674408
484	0.0335695
485	0.06852129
486	-0.066075
487	0.005620929
488	-0.019380096
489	0.028368693
490	-0.050684188
491	-0.04380194
492	-0.044896066
493	0.09024241
494	-0.028607868
495	-0.035237182
496	-0.06483593
497	0.035507683
498	0.06118433
499	0.0122102015
500	-0.052714556
501	0.027797405
502	-0.045724787
503	0.0066539375
504	0.05087911
505	0.068856485
506	0.1363876
507	0.047482792
508	-0.023509996
509	-0.047834937
510	-0.02334053
511	-0.016169429
512	0.0032287203
513	0.035277225
514	-0.031954348
515	0.06340169
516	-0.030849364
517	0.07378443
518	-0.006834548
519	0.050167892
520	-0.037532423
521	0.0069949487
522	0.0063189026
523	0.0411771
524	-0.039425947
525	0.04404293
526	-0.06396676
527	0.06691825
528	0.03143159
529	-0.02538421
530	-0.031559456
531	0.06645971
532	0.053453285
533	-0.053078786
